id;active;code;name;postal_address;ward;village;comment;description;start_date;operatedby
1;false;Human California;Paradigm;Rubber stable North Korean Won;Gateway Manager;Gorgeous Granite Mouse;Quetzal Corner Configurable;Configuration;2020-09-04;transmitting tan clear-thinking
2;true;Operations;models Rustic;Beauty;Lari;Metal white green;Implementation;Analyst;2020-09-04;Tanzania
3;true;circuit;programming;Ergonomic Granite Computer;Incredible Gloves Practical;Cambridgeshire;generating Gorgeous Plastic Chair;mobile;2020-09-05;Sports Small Garden
4;true;Personal Loan Account customer loyalty;Proactive California olive;transitional Ergonomic Soap;gold invoice;repurpose FTP;cross-platform;program Quality Plastic;2020-09-05;open-source Computers Gorgeous
5;false;bifurcated;Unbranded Metal Keyboard Applications;Refined;Realigned supply-chains;West Virginia e-markets;Digitized;incentivize Computers International;2020-09-05;deliverables blue turquoise
6;false;Euro holistic;Handmade;SQL Plastic;olive Small Steel Pants;Specialist;synthesize;Bedfordshire success;2020-09-04;open-source Shoes Gardens
7;true;Macedonia cyan Cayman Islands;Innovative;Kwanza;project;quantifying Branch;bandwidth networks Shoes;Computers Steel;2020-09-04;Home Loan Account Handmade
8;false;index Tools;Unbranded scalable Garden;Minnesota Producer;Designer application synergies;Reverse-engineered Money Market Account Center;hacking;Quality-focused New Mexico;2020-09-04;Albania Buckinghamshire
9;true;Practical Plastic Table Vista Sleek Fresh Salad;Sleek Chips Jamaican Dollar;Awesome Czech Koruna;navigating Refined;Route Bedfordshire;PCI Ville;Regional SMS;2020-09-04;Money Market Account
10;true;6th generation;Sausages;Berkshire;synthesize;e-markets redefine;Direct white Rustic;Ergonomic compressing;2020-09-04;Berkshire enable Borders
